frame,tracker_id,class_name,x_canon,y_canon,jugador,velocidad_10a,distancia_pelota_10a
438,5,robot,70.5,204.75,10a,13.941976123378353,
439,5,robot,69.875,203.5,10a,11.77050332486721,
440,5,robot,69.375,202.375,10a,10.637935912261023,
441,5,robot,69.125,200.875,10a,9.311545610520561,
442,5,robot,69.0,199.5,10a,9.057876039292836,
443,5,robot,68.75,198.625,10a,10.735265807266382,
444,5,robot,68.5,198.0,10a,13.060651641544352,
445,5,robot,67.875,198.125,10a,351.18672965082305,
446,5,robot,66.625,198.125,10a,16.86649445510482,61.4314913134949
447,5,robot,65.625,197.625,10a,326.2149215835712,56.481468199755575
448,5,robot,64.625,197.0,10a,21.670832932769336,
449,5,robot,63.375,196.625,10a,25.50122546074992,46.32797481004323
450,5,robot,62.125,196.5,10a,27.528394431931552,42.80770958600799
450,7,robot,26.0,179.125,10a,112.64085569831657,41.94956048637459
451,5,robot,60.625,196.125,10a,30.130059275394323,39.350389134035254
451,7,robot,25.75,173.75,10a,125.62756665222241,38.244280618152565
452,5,robot,59.5,195.875,10a,29.712938727272515,36.25
452,7,robot,25.25,168.125,10a,139.6441487540742,35.198100090771945
453,5,robot,58.25,195.25,10a,30.609051969964703,33.32252428913512
453,7,robot,24.5,162.375,10a,158.05282259866465,32.99550158733763
454,5,robot,56.625,195.0,10a,34.514414882926005,30.939709517059143
454,7,robot,23.25,156.25,10a,184.70415534037124,29.78726657483026
455,5,robot,55.375,194.75,10a,38.84283235038351,24.969043333696227
456,5,robot,54.125,194.25,10a,39.26054794574319,19.973810978378662
457,5,robot,52.75,194.0,10a,40.12675229818631,15.285818591099398
458,5,robot,51.375,193.75,10a,40.92829094892676,
459,5,robot,50.0,193.625,10a,41.12196037398996,11.051018052650171
460,5,robot,48.75,193.125,10a,41.38274096770295,10.900831390311474
461,5,robot,47.5,192.75,10a,69.41917010225598,11.491844934561204
462,5,robot,46.125,192.625,10a,40.68118333684445,11.79578844333858
463,5,robot,44.75,192.5,10a,66.73466584167481,11.932754292283068
464,5,robot,43.5,192.5,10a,40.88020800155009,11.845357740482134
465,5,robot,42.0,192.5,10a,68.25087781475932,14.326548781894402
466,5,robot,40.875,192.125,10a,40.73951202747385,18.384776310850235
467,5,robot,39.625,192.0,10a,71.27718332148723,19.677477607660997
468,5,robot,38.0,192.125,10a,40.38340643514515,19.381047443314305
469,5,robot,36.875,191.875,10a,76.28318949808012,19.55321265163349
470,5,robot,35.5,191.75,10a,40.20027984977219,17.727538605232255
471,5,robot,34.25,191.5,10a,40.12869920642831,13.426885342476117
472,5,robot,33.0,191.25,10a,39.881073205218534,10.872126057032267
