frame,tracker_id,class_name,x_canon,y_canon,num_detecciones,area_pixeles
347,-1.0,orange ball,91.625,121.75,3,548.5
348,-1.0,orange ball,59.875,260.375,2,130.0
348,-1.0,orange ball,91.0,125.25,2,558.5
349,-1.0,orange ball,60.25,260.75,2,74.5
349,-1.0,orange ball,90.75,128.25,2,583.0
350,-1.0,orange ball,61.125,259.375,2,497.0
350,-1.0,orange ball,90.375,131.125,2,577.0
351,-1.0,orange ball,59.25,259.625,2,123.5
351,-1.0,orange ball,90.125,133.875,2,563.0
352,-1.0,orange ball,59.875,260.125,3,137.5
352,-1.0,orange ball,42.5,254.5,3,62.5
352,-1.0,orange ball,89.75,136.5,3,535.0
353,-1.0,orange ball,60.875,262.25,2,87.5
353,-1.0,orange ball,89.375,139.125,2,566.0
354,-1.0,orange ball,61.375,262.625,3,131.0
354,-1.0,orange ball,42.25,254.5,3,82.5
354,-1.0,orange ball,89.125,141.625,3,95.5
355,-1.0,orange ball,61.75,262.125,3,90.0
355,-1.0,orange ball,43.25,253.0,3,84.0
355,-1.0,orange ball,88.75,144.375,3,550.0
356,-1.0,orange ball,42.625,253.625,2,169.5
356,-1.0,orange ball,88.375,146.875,2,565.5
357,-1.0,orange ball,64.875,264.875,2,76.0
357,-1.0,orange ball,88.0,149.625,2,559.5
358,-1.0,orange ball,40.875,255.25,2,85.0
358,-1.0,orange ball,87.75,152.125,2,567.0
359,-1.0,orange ball,87.375,154.75,1,583.0
360,-1.0,orange ball,87.0,157.25,1,577.0
361,-1.0,orange ball,35.0,257.75,2,74.5
361,-1.0,orange ball,86.625,159.875,2,577.0
362,-1.0,orange ball,86.375,162.375,1,568.0
363,-1.0,orange ball,86.0,164.875,1,570.5
364,-1.0,orange ball,85.625,167.375,1,585.0
365,-1.0,orange ball,85.375,169.875,1,575.0
366,-1.0,orange ball,85.0,172.375,1,577.0
367,-1.0,orange ball,84.625,174.875,1,573.0
368,-1.0,orange ball,84.375,177.25,1,585.5
369,-1.0,orange ball,84.0,179.75,1,584.0
370,-1.0,orange ball,83.75,182.0,1,578.5
371,-1.0,orange ball,83.375,184.5,1,573.0
372,-1.0,orange ball,82.875,187.0,1,591.0
373,-1.0,orange ball,82.625,189.25,1,600.5
374,-1.0,orange ball,82.25,191.625,1,580.0
375,-1.0,orange ball,81.875,193.875,1,608.5
376,-1.0,orange ball,81.5,196.125,1,597.5
377,-1.0,orange ball,81.25,198.5,1,565.0
378,-1.0,orange ball,80.875,200.875,1,61.0
379,-1.0,orange ball,80.375,202.75,1,472.5
380,-1.0,orange ball,80.125,205.125,1,350.0
381,-1.0,orange ball,79.75,207.5,1,489.0
382,-1.0,orange ball,79.5,209.5,1,544.5
383,-1.0,orange ball,79.0,211.5,1,528.5
384,-1.0,orange ball,78.75,213.75,1,326.5
385,-1.0,orange ball,78.125,215.75,1,472.0
386,-1.0,orange ball,77.875,218.125,1,394.0
387,-1.0,orange ball,77.625,220.125,1,367.0
388,-1.0,orange ball,77.375,222.0,1,513.0
389,-1.0,orange ball,76.875,223.625,1,651.0
390,-1.0,orange ball,76.625,225.875,1,411.5
391,-1.0,orange ball,76.25,227.5,1,607.5
392,-1.0,orange ball,76.0,229.625,1,283.0
393,-1.0,orange ball,75.5,231.75,1,688.0
394,-1.0,orange ball,75.25,233.125,1,136.0
395,-1.0,orange ball,74.875,234.875,1,287.0
396,-1.0,orange ball,74.625,236.0,1,111.5
397,-1.0,orange ball,74.375,236.125,1,188.0
398,-1.0,orange ball,74.125,236.25,1,237.0
399,-1.0,orange ball,73.5,237.5,1,204.5
400,,,,,0,
401,-1.0,orange ball,73.25,236.375,1,243.0
402,-1.0,orange ball,73.0,236.5,1,239.0
403,-1.0,orange ball,72.75,236.5,1,658.0
404,-1.0,orange ball,73.5,237.0,1,86.5
405,-1.0,orange ball,72.25,236.375,1,221.0
406,-1.0,orange ball,72.125,236.25,1,172.0
407,-1.0,orange ball,71.875,235.625,1,62.0
408,-1.0,orange ball,71.625,236.375,1,176.0
409,,,,,0,
410,-1.0,orange ball,71.25,236.125,1,154.5
411,-1.0,orange ball,71.125,236.25,1,658.0
412,-1.0,orange ball,71.0,235.375,1,60.0
413,-1.0,orange ball,70.875,236.25,1,63.0
414,-1.0,orange ball,70.875,235.875,1,177.0
415,,,,,0,
416,-1.0,orange ball,70.625,235.625,1,165.0
417,,,,,0,
418,-1.0,orange ball,70.5,235.375,1,92.0
419,-1.0,orange ball,70.375,236.375,2,610.5
419,-1.0,orange ball,99.0,-0.125,2,378.5
420,-1.0,orange ball,70.25,236.25,2,199.0
420,-1.0,orange ball,96.5,0.125,2,816.0
421,-1.0,orange ball,70.125,237.5,3,142.5
421,-1.0,orange ball,70.375,234.875,3,76.0
421,-1.0,orange ball,97.0,1.75,3,444.5
422,-1.0,orange ball,70.25,236.0,1,536.5
423,-1.0,orange ball,70.375,236.125,1,472.5
424,-1.0,orange ball,70.375,236.25,1,370.5
425,-1.0,orange ball,70.5,236.375,1,384.0
426,-1.0,orange ball,70.5,236.25,1,352.0
427,-1.0,orange ball,70.375,235.875,1,374.0
428,-1.0,orange ball,70.375,235.75,1,341.5
429,-1.0,orange ball,70.5,235.375,1,286.5
430,-1.0,orange ball,70.75,235.0,3,186.0
430,-1.0,orange ball,81.5,1.125,3,145.5
430,-1.0,orange ball,82.875,-3.5,3,108.5
431,-1.0,orange ball,70.75,234.5,2,118.5
431,-1.0,orange ball,73.25,-0.375,2,151.0
432,-1.0,orange ball,71.125,234.25,1,111.5
433,-1.0,orange ball,71.875,234.0,1,109.0
434,-1.0,orange ball,73.875,235.75,1,285.0
435,-1.0,orange ball,76.375,237.125,1,445.0
436,-1.0,orange ball,79.125,239.0,1,498.0
437,-1.0,orange ball,81.5,240.625,1,624.5
438,-1.0,orange ball,76.5,250.5,2,470.5
438,-1.0,orange ball,83.375,242.125,2,371.5
439,-1.0,orange ball,80.75,251.5,2,119.5
439,-1.0,orange ball,85.625,242.875,2,430.0
440,-1.0,orange ball,82.375,252.125,3,452.0
440,-1.0,orange ball,78.125,249.375,3,251.5
440,-1.0,orange ball,87.5,243.375,3,409.5
441,-1.0,orange ball,100.25,268.75,4,200.5
441,-1.0,orange ball,82.5,252.25,4,267.0
441,-1.0,orange ball,80.0,250.5,4,316.5
441,-1.0,orange ball,89.75,243.0,4,801.0
